sampling_weight,property_label,theme_entity_label,fluency_mean,fluency_median,adequacy_maj,adequacy_perc,had_descriptions,had_aliases,processed_verbalisation,datatype,entity_label,object_label,theme_group,weighted_fluency_mean,weighted_fluency_median,weighted_adequacy_maj,weighted_adequacy_perc
1.8571428571428568,name in kana,University,3.4,4.0,1,0.0,2,2,The name of the University of Tsukuba is kana.,string,University of Tsukuba,つくばだいがく,WEBNLG_SEEN,6.314285714285713,7.428571428571427,1.8571428571428568,0.0
2.0,located on street,University,3.6,4.0,1,0.4,2,2,The École des technologies numériques appliquées is located on Rue Maurice-Grandcoing.,wikibase-item,École des technologies numériques appliquées,Rue Maurice-Grandcoing,WEBNLG_SEEN,7.2,8.0,2.0,0.8
7.833333333333332,historic county,University,4.8,5.0,1,0.4,3,3,Bangor University is located in the historic county of Caernarfonshire.,wikibase-item,Bangor University,Caernarfonshire,WEBNLG_SEEN,37.599999999999994,39.16666666666666,7.833333333333332,3.133333333333333
15.166666666666664,described by source,University,2.8,3.0,1,0.4,3,3,The University of Debrecen is described by source as having a survey of GLAM open access policy and practice.,wikibase-item,University of Debrecen,Survey of GLAM open access policy and practice,WEBNLG_SEEN,42.466666666666654,45.49999999999999,15.166666666666664,6.066666666666666
3967.833333333334,collection,WrittenWork,3.2,3.0,1,0.4,3,2,"Parker Morse Hooper, His Book is inscribed in the Cleveland Museum of Art collection.",wikibase-item,"Bookplate:  Parker Morse Hooper, His Book inscribed",Cleveland Museum of Art,WEBNLG_SEEN,12697.06666666667,11903.500000000002,3967.833333333334,1587.1333333333337
352840.44444444444,issue,WrittenWork,3.4,3.0,1,0.4,2,1,The postnatal development of mechanisms for the rapid efflux of primary amines from the cerebrospinal fluid system of the rat: elimination of ( 3 H) metaraminol following intrathecal infusion.,string,Postnatal development of mechanisms for the rapid efflux of primary amines from the cerebrospinal fluid system of the rat: elimination of ( 3 H) metaraminol following intrathecal infusion.,2,WEBNLG_SEEN,1199657.5111111111,1058521.3333333333,352840.44444444444,141136.17777777778
352840.44444444444,issue,WrittenWork,3.4,4.0,1,0.4,2,1,The use of an ipb-lux Fusion to study the regulation of the Isopropylbenzene Catabolism Operon of Pseudomonas putida RE204 and To Detect Hydrophobic Pollutants in the Environment is issue 3.,string,Use of an ipb-lux Fusion To Study Regulation of the Isopropylbenzene Catabolism Operon of Pseudomonas putida RE204 and To Detect Hydrophobic Pollutants in the Environment,3,WEBNLG_SEEN,1199657.5111111111,1411361.7777777778,352840.44444444444,141136.17777777778
387585.16666666674,page(s),WrittenWork,3.4,4.0,1,0.4,2,1,Assessment of combined toxicity of heavy metals from industrial wastewaters on Photobacterium phosphoreum T3S is 2043-2050.,string,Assessment of combined toxicity of heavy metals from industrial wastewaters on Photobacterium phosphoreum T3S,2043-2050,WEBNLG_SEEN,1317789.566666667,1550340.666666667,387585.16666666674,155034.0666666667
181.125,conflict,Athlete,4.2,5.0,1,0.4,3,2,Len Boyd-Gerny was involved in the World War II.,wikibase-item,Len Boyd-Gerny,World War II,WEBNLG_UNSEEN,760.725,905.625,181.125,72.45
181.125,conflict,Athlete,4.0,4.0,1,0.4,3,3,Eddison Tollett was involved in the Battle of Castle Black.,wikibase-item,Eddison Tollett,Battle of Castle Black,WEBNLG_UNSEEN,724.5,724.5,181.125,72.45
181.125,conflict,Athlete,4.0,4.0,1,0.4,3,2,Hank Thompson was involved in the World War II.,wikibase-item,Hank Thompson,World War II,WEBNLG_UNSEEN,724.5,724.5,181.125,72.45
2466.428571428572,name in native language,Athlete,4.6,5.0,1,0.4,2,1,Rob Williams is a native speaker of the English language.,monolingualtext,Rob Williams,Rob Williams,WEBNLG_UNSEEN,11345.571428571431,12332.14285714286,2466.428571428572,986.5714285714289
2610.714285714286,place of death,Athlete,4.0,5.0,1,0.4,3,2,Bob Woytowich died in Winnipeg.,wikibase-item,Bob Woytowich,Winnipeg,WEBNLG_UNSEEN,10442.857142857143,13053.57142857143,2610.714285714286,1044.2857142857144
4693.142857142857,country for sport,Athlete,5.0,5.0,1,0.4,3,2,J H MacGregor is from the United Kingdom.,wikibase-item,J. H. MacGregor,United Kingdom,WEBNLG_UNSEEN,23465.714285714283,23465.714285714283,4693.142857142857,1877.2571428571428
245.4,discography,Artist,4.457142857142857,5.0,1,0.0,3,2,The discography of Gru is extensive.,wikibase-item,Gru,Gru discography,WEBNLG_UNSEEN,1093.7828571428572,1227.0,245.4,0.0
245.4,discography,Artist,4.6,5.0,1,0.19999999999999996,2,1,Tabi Bonney is a member of the discography.,wikibase-item,Tabi Bonney,Tabi Bonney discography,WEBNLG_UNSEEN,1128.84,1227.0,245.4,49.07999999999999
206.0,conflict,Artist,4.6,5.0,1,0.4,3,3,Alban Berg was involved in the World War I.,wikibase-item,Alban Berg,World War I,WEBNLG_UNSEEN,947.5999999999999,1030.0,206.0,82.4
206.0,conflict,Artist,3.4,4.0,1,0.19999999999999996,3,2,Georgiy Pavlovitsj Pavlov is in the Eastern Front.,wikibase-item,Georgiy Pavlovitsj Pavlov,Eastern Front,WEBNLG_UNSEEN,700.4,824.0,206.0,41.19999999999999
206.0,conflict,Artist,3.6,4.0,1,0.4,2,2,Fabian Gottlieb von Bellingshausen was involved in the Russo-Turkish War of 1828–29.,wikibase-item,Fabian Gottlieb von Bellingshausen,Russo-Turkish War of 1828–29,WEBNLG_UNSEEN,741.6,824.0,206.0,82.4
246.66666666666663,archives at,Artist,3.0,3.0,1,0.4,3,3,"Undine Smith Moore is the owner of the Stuart A Rose Manuscript, Archives, and Rare Book Library.",wikibase-item,Undine Smith Moore,"Stuart A. Rose Manuscript, Archives, and Rare Book Library",WEBNLG_UNSEEN,739.9999999999999,739.9999999999999,246.66666666666663,98.66666666666666
962.7333333333332,time of discovery or invention,CelestialBody,3.65,4.0,1,0.0,2,2,The invention of the SM250 was made on 24/09/2000 and was discovered on 182176.,time,(182176) 2000 SM250,24/09/2000,WEBNLG_UNSEEN,3513.976666666666,3850.933333333333,962.7333333333332,0.0
962.7333333333332,time of discovery or invention,CelestialBody,4.4,4.0,1,0.4,2,3,17033 Rusty was invented on 22/03/1999.,time,17033 Rusty,22/03/1999,WEBNLG_UNSEEN,4236.026666666667,3850.933333333333,962.7333333333332,385.0933333333333
962.7333333333332,time of discovery or invention,CelestialBody,3.6,4.0,1,0.4,2,3,21928 Prabakaran was invented on 11/11/1999.,time,21928 Prabakaran,04/11/1999,WEBNLG_UNSEEN,3465.8399999999997,3850.933333333333,962.7333333333332,385.0933333333333
956.8125,discoverer or inventor,CelestialBody,3.4,4.0,1,0.0,3,2,Lowell Observatory Near-Earth-Object Search was the inventor of (198156) 2004 TB66.,wikibase-item,(198156) 2004 TB66,Lowell Observatory Near-Earth-Object Search,WEBNLG_UNSEEN,3253.1625,3827.25,956.8125,0.0
1524.0625,provisional designation,CelestialBody,4.4,5.0,1,0.4,2,0,The provisional designation for the DL (53611) is 1989 CS.,string,(5611) 1943 DL,1989 CS,WEBNLG_UNSEEN,6705.875000000001,7620.3125,1524.0625,609.625
40429.0,distance from Earth,CelestialBody,4.0,4.0,1,0.4,3,2,TYC 3511-893-1 is 588.3045 parsecs from Earth.,quantity,TYC 3511-893-1,588.3045 parsec,WEBNLG_UNSEEN,161716.0,161716.0,40429.0,16171.6
3.0,Bore,MeanOfTransportation,3.8,4.0,1,0.4,3,2,The LNWR 18-inch Tank class has a bore of 18 inches.,quantity,LNWR 18-inch Tank class,18 inch,WEBNLG_UNSEEN,11.399999999999999,12.0,3.0,1.2000000000000002
119.85714285714286,affiliation,Politician,3.0,3.0,1,0.4,3,1,Wilhelm Hahn is affiliated with the CDU/CSU Bundestag.,wikibase-item,Wilhelm Hahn,CDU/CSU Bundestag fraction,WEBNLG_UNSEEN,359.57142857142856,359.57142857142856,119.85714285714286,47.94285714285715
119.85714285714286,affiliation,Politician,2.6,3.0,1,0.4,3,2,Gerhard Schüßler is affiliated with the FDP Bundestag.,wikibase-item,Gerhard Schüßler,FDP Bundestag fraction,WEBNLG_UNSEEN,311.62857142857143,359.57142857142856,119.85714285714286,47.94285714285715
123.0,copyright status as a creator,Politician,3.8,4.0,1,0.19999999999999996,3,2,Rostam Bastuni is a creator of works protected by copyrights.,wikibase-item,Rostam Bastuni,works protected by copyrights,WEBNLG_UNSEEN,467.4,492.0,123.0,24.599999999999994
3602.285714285714,child,Politician,3.6,4.0,1,0.4,3,3,Decius is a child of Hostilian.,wikibase-item,Decius,Hostilian,WEBNLG_UNSEEN,12968.228571428572,14409.142857142857,3602.285714285714,1440.9142857142858
86.35714285714286,different from,Taxon,2.6,3.0,1,0.4,3,1,Dandamis is a dish that is different from Dandamis.,wikibase-item,Dandamis,Dandamis,WIKIDATA_UNSEEN,224.52857142857144,259.07142857142856,86.35714285714286,34.542857142857144
162.06666666666666,original combination,Taxon,4.2,4.0,1,0.4,2,1,The original combination of Egernia major and Tropidolepisma major.,wikibase-item,Egernia major,Tropidolepisma major,WIKIDATA_UNSEEN,680.6800000000001,648.2666666666667,162.06666666666666,64.82666666666667
278.35714285714283,ICTV virus genome composition,Taxon,4.4,4.0,1,0.4,3,2,"The ICTV virus is a positive-sense, single-stranded RNA virus.",wikibase-item,Beet soil-borne virus,positive-sense single-stranded RNA virus,WIKIDATA_UNSEEN,1224.7714285714285,1113.4285714285713,278.35714285714283,111.34285714285714
15.0,different from,Street,3.8,4.0,1,0.4,3,2,Walbrook is different from Ward of Walbrook.,wikibase-item,Walbrook,Ward of Walbrook,WIKIDATA_UNSEEN,57.0,60.0,15.0,6.0
15.0,different from,Street,3.6,4.0,1,0.4,2,1,Heinrichstraße is different from Heinrichstraße.,wikibase-item,Heinrichstraße,Heinrichstraße,WIKIDATA_UNSEEN,54.0,60.0,15.0,6.0
15.0,different from,Street,4.0,4.0,1,0.19999999999999996,3,1,Freiheit is different from freedom.,wikibase-item,Freiheit,Freiheit,WIKIDATA_UNSEEN,60.0,60.0,15.0,2.999999999999999
15.0,different from,Street,3.8,5.0,1,0.4,3,1,Kiefernweg (Pappritz) is different from Kiefernweg.,wikibase-item,Kiefernweg,Kiefernweg (Pappritz),WIKIDATA_UNSEEN,57.0,75.0,15.0,6.0
16.526315789473685,described by source,Street,3.2,3.0,1,0.19999999999999996,3,2,The source of Chatham Street is Cambridge Buildings and Architects.,wikibase-item,Chatham Street,Cambridge Buildings and Architects,WIKIDATA_UNSEEN,52.8842105263158,49.578947368421055,16.526315789473685,3.3052631578947365
3538.615384615385,copyright status,Painting,4.8,5.0,1,0.4,3,2,The copyright status of Family Saying Grace is public domain.,wikibase-item,Family Saying Grace,public domain,WIKIDATA_UNSEEN,16985.35384615385,17693.076923076926,3538.615384615385,1415.4461538461542
31.363636363636363,issue,ChemicalCompound,3.2,4.0,1,0.19999999999999996,2,1,"Acute psychological and physiological effects of MDMA (""Ecstasy"") after haloperidol pretreatment in healthy humans. Issue 4.",string,"Acute psychological and physiological effects of MDMA (""Ecstasy"") after haloperidol pretreatment in healthy humans.",4,WIKIDATA_UNSEEN,100.36363636363637,125.45454545454545,31.363636363636363,6.272727272727272
31.16666666666667,stereoisomer of,ChemicalCompound,0.8,0.0,1,0.19999999999999996,3,0,"1-[(3R,9R,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea is",wikibase-item,"1-[(3S,9S,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea","1-[(3R,9R,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea",WIKIDATA_UNSEEN,24.933333333333337,0.0,31.16666666666667,6.2333333333333325
161.33333333333334,subject has role,ChemicalCompound,3.0,4.0,1,0.4,3,2,H1 antagonist is a role in picumast.,wikibase-item,picumast,H1 antagonist,WIKIDATA_UNSEEN,484.0,645.3333333333334,161.33333333333334,64.53333333333335
637.4545454545455,cites work,ChemicalCompound,3.8,4.0,1,0.4,3,1,Beta-phenylethylamine alters monoamine transporter function via trace amine-associated receptor 1: implication for modulatory roles of trace amines in brain. This study was published in the journal Nature.,wikibase-item,Genetic deletion of trace amine 1 receptors reveals their role in auto-inhibiting the actions of ecstasy (MDMA).,Beta-phenylethylamine alters monoamine transporter function via trace amine-associated receptor 1: implication for modulatory roles of trace amines in brain.,WIKIDATA_UNSEEN,2422.327272727273,2549.818181818182,637.4545454545455,254.9818181818182
782.0,part of,ChemicalCompound,2.6,3.0,1,0.4,3,1,Activated FGFR1:p-FRS2:p-PTPN11 is part of FGFR1:p-FRS2:p-PTPN11:GRB2:GAB1:PIK3R1 [plasma membrane].,wikibase-item,Activated FGFR1:p-FRS2:p-PTPN11 [plasma membrane],Activated FGFR:p-FRS2:p-PTPN11:GRB2:GAB1:PIK3R1 [plasma membrane],WIKIDATA_UNSEEN,2033.2,2346.0,782.0,312.8
7.9375,heritage designation,Mountain,4.0,4.0,1,0.4,3,2,Craig-y-llyn is designated as a Site of Special Scientific Interest.,wikibase-item,Craig-y-llyn,Site of Special Scientific Interest,WIKIDATA_UNSEEN,31.75,31.75,7.9375,3.1750000000000003
7.9375,heritage designation,Mountain,3.4,3.0,1,0.4,3,2,Needles is a national natural landmark.,wikibase-item,Needles,National Natural Landmark,WIKIDATA_UNSEEN,26.9875,23.8125,7.9375,3.1750000000000003
17.705882352941178,OS grid reference,Mountain,4.4,5.0,1,0.4,2,1,The OS grid reference for Croidh-la is NN775949.,string,Croidh-la,NN775949,WIKIDATA_UNSEEN,77.90588235294119,88.52941176470588,17.705882352941178,7.082352941176471
433.1875,mountain range,Mountain,3.8,3.0,1,0.4,3,1,The Monarch is located in the Ball Range.,wikibase-item,The Monarch,Ball Range,WIKIDATA_UNSEEN,1646.1125,1299.5625,433.1875,173.275
